id,model,architecture,process_size_nm,transistor_count,density_m_per_mm2,die_size_mm2,tdp_w,memory_size_gb,memory_type,launch_price_usd,release_date,tensor_core_count,pixel_rate_gpixel_per_s,texture_rate_gtexel_per_s,fp32_tflops,base_clock_mhz,boost_clock_mhz,foundry
1,GeForce RTX 3060,AMPERE,8,12000,43.5,276,170,8.0,GDDR6,,2022-10-12,112,85.3,199.0,12.74,1320,1777,SAMSUNG
2,GeForce RTX 3070,AMPERE,8,17400,44.4,392,220,8.0,GDDR6,499,2020-09-01,184,165.6,317.4,20.31,1500,1725,SAMSUNG
3,Radeon R9 270,GCN 1.0,28,2800,13.2,212,150,2.0,GDDR5,179,2013-11-13,,29.6,74.0,2.368,900,925,TSMC
4,Radeon R9 Fury X,GCN 3.0,28,8900,14.9,596,275,4.0,HBM,649,2015-06-24,,67.2,268.8,8.602,,,TSMC
5,GeForce GTX 660,KEPLER,28,2540,11.5,221,140,2.0,GDDR5,229,2012-09-06,,20.64,82.56,1.981,980,1032,TSMC
6,Radeon HD 7870,GCN 1.0,28,2800,13.2,212,175,2.0,GDDR5,349,2012-03-05,,32.0,80.0,2.56,,,TSMC
7,GeForce GTX 1060 9GBPS,PASCAL,16,4400,22.0,200,120,6.0,GDDR5,299,2017-04-20,,82.03,136.7,4.375,1506,1709,TSMC
8,Radeon RX 6600,RDNA 2.0,7,11060,46.7,237,132,8.0,GDDR6,329,2021-10-13,,159.4,279.0,8.928,1626,2491,TSMC
9,GeForce GTX 960,TESLA,65,754,2.3,324,140,0.5,GDDR3,,2009-05-27,,9.28,27.84,0.2784,,,TSMC
10,GeForce GTX 780 Ti,KEPLER,28,7080,12.6,561,250,3.0,GDDR5,699,2013-11-07,,55.68,222.7,5.345,875,928,TSMC
11,Radeon RX 580,GCN 4.0,14,5700,24.6,232,185,8.0,GDDR5,229,2017-04-18,,42.88,193.0,6.175,1257,1340,GLOBALFOUNDRIES
12,GeForce GT 720,KEPLER 2.0,28,1020,11.7,87,19,1.0,DDR3,49,2014-09-29,,3.188,12.75,0.306,,,TSMC
13,GeForce GT 630,FERMI,40,585,5.0,116,65,1.0,DDR3,,2012-05-15,,3.24,12.96,0.311,,,TSMC
14,Radeon RX 7900 XTX,RDNA 3.0,5,57700,109.1,529,355,24.0,GDDR6,999,2022-11-03,,479.8,959.6,61.42,1855,2499,TSMC
15,GeForce GTX 680,KEPLER,28,3540,12.0,294,195,2.0,GDDR5,499,2012-03-22,,33.86,135.4,3.25,1006,1058,TSMC
16,Radeon HD 6570,TERASCALE 2,40,716,6.1,118,60,2.0,GDDR5,79,2011-04-19,,5.2,15.6,0.624,,,TSMC
17,Radeon R9 285,GCN 3.0,28,5000,13.7,366,190,2.0,GDDR5,249,2014-09-02,,29.38,102.8,3.29,,,TSMC
18,GeForce RTX 2080,TURING,12,13600,25.0,545,215,8.0,GDDR6,699,2018-09-20,368,109.4,314.6,10.07,1515,1710,TSMC
19,Radeon R7 240,GCN 1.0,28,950,12.3,77,30,2.0,DDR3,69,2013-10-08,,6.24,15.6,0.4992,730,780,TSMC
20,GeForce RTX 4090,ADA LOVELACE,5,76300,125.5,608,450,24.0,GDDR6X,1599,2022-09-20,512,443.5,1290.0,82.58,2235,2520,TSMC
21,GeForce GTX 670,KEPLER,28,3540,12.0,294,170,2.0,GDDR5,399,2012-05-10,,27.44,109.8,2.634,915,980,TSMC
22,Radeon RX 5700,RDNA 1.0,7,10300,41.0,251,180,8.0,GDDR6,349,2019-07-07,,110.4,248.4,7.949,1465,1725,TSMC
23,Radeon R7 260,GCN 2.0,28,2080,13.0,160,95,2.0,GDDR5,109,2013-12-17,,16.0,48.0,1.536,,,TSMC
24,Radeon RX 6800 XT,RDNA 2.0,7,26800,51.5,520,300,16.0,GDDR6,649,2020-10-28,,288.0,648.0,20.74,1825,2250,TSMC
25,GeForce RTX 4070 Ti,ADA LOVELACE,5,35800,121.4,295,285,12.0,GDDR6X,799,2023-01-03,240,208.8,626.4,40.09,2310,2610,TSMC
26,Radeon R9 280,GCN 1.0,28,4313,12.3,352,200,3.0,GDDR5,279,2014-03-04,,29.86,104.5,3.344,827,933,TSMC
27,GeForce GTX 980,TESLA,65,754,2.3,324,140,0.5,GDDR3,299,2008-03-28,,10.8,43.2,0.43210000000000004,,,TSMC
28,Radeon RX 550,GCN 4.0,14,2200,21.4,103,50,2.0,GDDR5,79,2017-04-20,,18.93,37.86,1.211,1100,1183,GLOBALFOUNDRIES
29,Radeon R9 390,GCN 2.0,28,6200,14.2,438,275,8.0,GDDR5,329,2015-06-18,,64.0,160.0,5.12,,,TSMC
30,GeForce RTX 3050,AMPERE,8,8700,43.5,200,90,4.0,GDDR6,199,,72,55.68,125.3,8.018,1545,1740,SAMSUNG
31,GeForce G210,TESLA,55,314,2.6,121,31,0.5,DDR2,,2009-05-26,,2.2,4.4,0.0432,,,TSMC
32,Radeon HD 6450,TERASCALE 2,40,370,5.5,67,18,0.5,GDDR3,55,2011-04-07,,2.5,5.0,0.2,,,TSMC
33,Radeon HD 7850,GCN 1.0,28,2800,13.2,212,130,2.0,GDDR5,249,2012-03-05,,27.52,55.04,1.761,,,TSMC
34,GeForce GTX 1660 SUPER,TURING,12,6600,23.2,284,125,6.0,GDDR6,229,2019-10-29,,85.68,157.1,5.027,1530,1785,TSMC
35,GeForce GT 620,FERMI,40,585,5.0,116,49,1.0,DDR3,,2012-05-15,,2.8,11.2,0.26880000000000004,,,TSMC
36,Radeon VII,GCN 5.1,7,13230,40.0,331,250,16.0,HBM2,1899,2020-05-13,,108.8,408.0,13.06,1400,1700,TSMC
37,Radeon R7 265,GCN 1.0,28,2800,13.2,212,150,2.0,GDDR5,149,2014-02-13,,29.6,59.2,1.894,900,925,TSMC
38,Radeon RX 570,GCN 4.0,14,5700,24.6,232,150,4.0,GDDR5,169,2017-04-18,,39.81,159.2,5.095,1168,1244,GLOBALFOUNDRIES
39,GeForce GT 1030,PASCAL,14,1800,24.3,74,30,2.0,GDDR5,79,2017-05-17,,23.49,35.23,1.127,1228,1468,SAMSUNG
40,GeForce GTX 1080 Ti,PASCAL,16,11800,25.1,471,250,11.0,GDDR5X,699,2017-03-10,,139.2,354.4,11.34,1481,1582,TSMC
41,GeForce RTX 3070 Ti,AMPERE,8,17400,44.4,392,290,8.0,GDDR6X,599,2021-05-31,192,169.9,339.8,21.75,1575,1770,SAMSUNG
42,GeForce GTX TITAN X,KEPLER,28,7080,12.6,561,250,6.0,GDDR5,999,2013-02-19,,49.06,196.2,4.709,836,876,TSMC
43,GeForce GTX TITAN Black,KEPLER,28,7080,12.6,561,250,6.0,GDDR5,999,2014-02-18,,58.8,235.2,5.645,889,980,TSMC
44,Radeon RX 6500 XT,RDNA 2.0,6,5400,50.5,107,107,4.0,GDDR6,199,2022-01-19,,90.08,180.2,5.765,2310,2815,TSMC
45,Radeon RX Vega 56,GCN 5.0,14,12500,25.3,495,210,8.0,HBM2,399,2017-08-14,,94.14,329.5,10.54,1156,1471,GLOBALFOUNDRIES
46,GeForce GTX 1060,PASCAL,16,4400,22.0,200,120,3.0,GDDR5,199,2016-08-18,,81.98,123.0,3.935,1506,1708,TSMC
47,GeForce GTX 970,MAXWELL 2.0,28,5200,13.1,398,148,4.0,GDDR5,329,2014-09-19,,65.97,122.5,3.92,1050,1178,TSMC
48,Radeon RX 460,GCN 4.0,14,3000,24.4,123,75,2.0,GDDR5,,2016-08-08,,19.2,67.2,2.15,1090,1200,GLOBALFOUNDRIES
49,Radeon RX 7900 XT,RDNA 3.0,5,57700,109.1,529,300,20.0,GDDR6,899,2022-11-03,,459.6,804.4,51.48,1500,2394,TSMC
50,GeForce RTX 2070 SUPER,TURING,12,13600,25.0,545,215,8.0,GDDR6,499,2019-07-09,320,113.3,283.2,9.062,1605,1770,TSMC
51,GeForce GTX 770,KEPLER,28,3540,12.0,294,230,2.0,GDDR5,399,2013-05-30,,34.72,138.9,3.333,1046,1085,TSMC
52,GeForce GTX 780,CURIE,110,302,0.9068999999999999,333,86,0.25,GDDR3,599,2005-06-22,,6.88,10.32,,,,TSMC
53,Radeon RX 5700XT,,,,,,,,,,,,,,,,,
54,GeForce GTX 1050,PASCAL,14,3300,25.0,132,75,2.0,GDDR5,109,2016-10-25,,46.56,58.2,1.862,1354,1455,SAMSUNG
55,Radeon R7 370,GCN 1.0,28,2800,13.2,212,110,2.0,GDDR5,149,2015-06-18,,31.2,62.4,1.997,925,975,TSMC
56,GeForce RTX 3090,AMPERE,8,28300,45.1,628,350,24.0,GDDR6X,1499,2020-09-01,328,189.8,556.0,35.58,1395,1695,SAMSUNG
57,Radeon RX 6650 XT,RDNA 2.0,7,11060,46.7,237,176,8.0,GDDR6,399,2022-05-10,,168.6,337.3,10.79,2055,2635,TSMC
58,GeForce GTX 650 Ti BOOST,KEPLER,28,2540,11.5,221,134,2.0,GDDR5,169,2013-03-26,,16.51,66.05,1.585,980,1032,TSMC
59,Radeon RX 5700 XT,RDNA 1.0,7,10300,41.0,251,225,8.0,GDDR6,399,2019-07-07,,121.9,304.8,9.754,1605,1905,TSMC
60,Radeon RX 590,GCN 4.0,12,5700,24.6,232,175,8.0,GDDR5,279,2018-11-15,,49.44,222.5,7.119,1469,1545,GLOBALFOUNDRIES
61,GeForce RTX 2080 Ti,TURING,12,18600,24.7,754,250,11.0,GDDR6,999,2018-09-20,544,136.0,420.2,13.45,1350,1545,TSMC
62,GeForce GTX 1660,TURING,12,6600,23.2,284,120,6.0,GDDR5,219,2019-03-14,,85.68,157.1,5.027,1530,1785,TSMC
63,GeForce RTX 3080 Ti,AMPERE,8,28300,45.1,628,350,12.0,GDDR6X,1199,2021-05-31,320,186.5,532.8,34.1,1365,1665,SAMSUNG
64,Radeon HD 6670,TERASCALE 2,40,716,6.1,118,66,1.0,GDDR5,99,2011-04-19,,6.4,19.2,0.768,,,TSMC
65,GeForce RTX 2060,TURING,12,10800,24.3,445,160,6.0,GDDR6,349,2019-01-07,240,80.64,201.6,6.451,1365,1680,TSMC
66,Radeon HD 5450,TERASCALE 2,40,292,4.9,59,11,1.0,GDDR3,,2010-01-07,,2.6,5.2,0.104,,,TSMC
67,GeForce RTX 3060 Ti,AMPERE,8,17400,44.4,392,200,8.0,GDDR6,399,2020-12-01,152,133.2,253.1,16.2,1410,1665,SAMSUNG
68,Radeon R7 250,GCN 1.0,28,1500,12.2,123,55,1.0,DDR3,,2013-10-08,,14.8,29.6,0.9472,,,TSMC
69,GeForce GTX 950,CURIE,90,278,1.4,196,45,0.5,GDDR3,,2006-10-12,,9.2,13.8,,,,TSMC
70,Radeon R9 Fury,GCN 3.0,28,8900,14.9,596,275,4.0,HBM,549,2015-07-10,,64.0,224.0,7.168,,,TSMC
71,Radeon HD 7790,GCN 2.0,28,2080,13.0,160,85,1.0,GDDR5,149,2013-03-22,,16.0,56.0,1.792,,,TSMC
72,GeForce GTX 1630,TURING,12,4700,23.5,200,75,4.0,GDDR6,,2022-06-28,,28.56,57.12,1.828,1740,1785,TSMC
73,GeForce GTX 660 Ti,KEPLER,28,3540,12.0,294,150,2.0,GDDR5,299,2012-08-16,,27.44,109.8,2.634,915,980,TSMC
74,GeForce GTX 1650,TURING,12,4700,23.5,200,75,4.0,GDDR5,149,2019-04-23,,53.28,93.24,2.984,1485,1665,TSMC
75,GeForce RTX 2080 SUPER,TURING,12,13600,25.0,545,250,8.0,GDDR6,699,2019-07-23,384,116.2,348.5,11.15,1650,1815,TSMC
76,Radeon R9 295X2,GCN 2.0,28,6200,14.2,438,500,4.0,GDDR5,1499,2014-04-29,,65.15,179.2,5.733,,,TSMC
77,GeForce GTX 1660 Ti,TURING,12,6600,23.2,284,120,6.0,GDDR6,279,2019-02-22,,84.96,169.9,5.437,1500,1770,TSMC
78,GeForce GTX 750,MAXWELL,28,1870,12.6,148,55,1.0,GDDR5,119,2014-02-18,,17.36,34.72,1.111,1020,1085,TSMC
79,Radeon R9 290,GCN 2.0,28,6200,14.2,438,275,4.0,GDDR5,399,2013-11-05,,60.61,151.5,4.849,,,TSMC
80,GeForce GTX 1650 SUPER,TURING,12,6600,23.2,284,100,4.0,GDDR6,159,2019-11-22,,55.2,138.0,4.416,1530,1725,TSMC
81,GeForce GTX 750 Ti,MAXWELL,28,1870,12.6,148,60,2.0,GDDR5,149,2014-02-18,,17.36,43.4,1.389,1020,1085,TSMC
82,GeForce 210,TESLA 2.0,40,260,4.6,57,31,0.5,DDR3,,2009-10-12,,2.08,4.16,0.03936,,,TSMC
83,GeForce GTX 1060 9 GB,PASCAL,16,4400,22.0,200,120,6.0,GDDR5,299,2017-04-20,,82.03,136.7,4.375,1506,1709,TSMC
84,Radeon R9 280X,GCN 1.0,28,4313,12.3,352,250,3.0,GDDR5,299,2013-10-08,,32.0,128.0,4.096,850,1000,TSMC
85,Radeon HD 7770,GCN 1.0,28,1500,12.2,123,80,1.0,GDDR5,159,2012-02-15,,16.0,40.0,1.28,,,TSMC
86,GeForce GT 740,KEPLER,28,1270,10.8,118,64,1.0,GDDR5,89,2014-05-29,,7.944,31.78,0.7626000000000001,,,TSMC
87,Radeon RX 6600 XT,RDNA 2.0,7,11060,46.7,237,160,8.0,GDDR6,379,2021-07-30,,165.7,331.4,10.6,1968,2589,TSMC
88,Radeon RX 6800,RDNA 2.0,7,26800,51.5,520,250,16.0,GDDR6,579,2020-10-28,,202.1,505.2,16.17,1700,2105,TSMC
89,GeForce GTX 1050 Ti,PASCAL,14,3300,25.0,132,75,4.0,GDDR5,139,2016-10-25,,44.54,66.82,2.138,1291,1392,SAMSUNG
90,GeForce GT 730,CURIE,80,177,1.8,100,24,0.125,DDR2,,2006-05-15,,2.8,2.8,,,,TSMC
91,Radeon R9 Nano,GCN 3.0,28,8900,14.9,596,175,4.0,HBM,649,2015-08-27,,64.0,256.0,8.192,,,TSMC
92,GeForce RTX 3080,AMPERE,8,28300,45.1,628,320,10.0,GDDR6X,699,2020-09-01,272,164.2,465.1,29.77,1440,1710,SAMSUNG
93,GeForce RTX 4080,ADA LOVELACE,5,45900,121.1,379,320,16.0,GDDR6X,1199,2022-09-20,304,280.6,761.5,48.74,2205,2505,TSMC
94,Radeon RX 6700 XT,RDNA 2.0,7,17200,51.3,335,230,12.0,GDDR6,479,2021-03-03,,165.2,413.0,13.21,2321,2581,TSMC
95,Radeon R9 380,GCN 3.0,28,5000,13.7,366,190,2.0,GDDR5,199,2015-06-18,,31.04,108.6,3.476,,,TSMC
96,GeForce GTX 1070,PASCAL,16,7200,22.9,314,150,8.0,GDDR5,379,2016-06-10,,107.7,202.0,6.463,1506,1683,TSMC
97,GeForce RTX 3090 Ti,AMPERE,8,28300,45.1,628,450,24.0,GDDR6X,1999,2022-01-27,336,208.3,625.0,40.0,1560,1860,SAMSUNG
98,Radeon RX 6900 XT,RDNA 2.0,7,26800,51.5,520,300,16.0,GDDR6,999,2020-10-28,,288.0,720.0,23.04,1825,2250,TSMC
99,Radeon R7 260X,GCN 2.0,28,2080,13.0,160,115,2.0,GDDR5,139,2013-10-08,,17.6,61.6,1.971,,,TSMC
100,GeForce GTX 1070 Ti,PASCAL,16,7200,22.9,314,180,8.0,GDDR5,399,2017-11-02,,107.7,255.8,8.186,1607,1683,TSMC
101,Radeon RX 560,GCN 4.0,14,3000,24.4,123,75,4.0,GDDR5,99,2017-04-18,,20.4,81.6,2.611,1175,1275,GLOBALFOUNDRIES
102,Radeon R9 390X,GCN 2.0,28,6200,14.2,438,275,8.0,GDDR5,429,2015-06-18,,67.2,184.8,5.914,,,TSMC
103,GeForce GTX TITAN Z,KEPLER,28,7080,12.6,561,375,6.0,GDDR5,2999,2014-05-28,,52.56,210.2,5.046,705,876,TSMC
104,GeForce GTX 1080,PASCAL,16,7200,22.9,314,180,8.0,GDDR5X,599,2016-05-27,,110.9,277.3,8.873,1607,1733,TSMC
105,Radeon RX 6400,RDNA 2.0,6,5400,50.5,107,53,4.0,GDDR6,159,2022-01-19,,74.27,111.4,3.565,1923,2321,TSMC
106,GeForce GTX 980 Ti,MAXWELL 2.0,28,8000,13.3,601,250,6.0,GDDR5,649,2015-06-02,,103.3,189.4,6.06,1000,1076,TSMC
107,GeForce GTX 1080 11 GB,PASCAL,16,7200,22.9,314,180,8.0,GDDR5X,499,2017-04-20,,110.9,277.3,8.873,1607,1733,TSMC
108,Radeon RX 5600 XT,RDNA 1.0,7,10300,41.0,251,150,6.0,GDDR6,279,2020-01-21,,99.84,224.6,7.188,1130,1560,TSMC
109,GeForce RTX 2060 SUPER,TURING,12,10800,24.3,445,175,8.0,GDDR6,399,2019-07-09,272,105.6,224.4,7.181,1470,1650,TSMC
110,GeForce 6200,CURIE,110,146,0.9481,154,,0.125,DDR,,2004-10-11,,1.2,0.6,,,,TSMC
111,Radeon R7 360,GCN 2.0,28,2080,13.0,160,100,2.0,GDDR5,109,2015-06-18,,16.8,50.4,1.613,1000,1050,TSMC
112,GeForce GTX 760,KEPLER,28,3540,12.0,294,170,2.0,GDDR5,249,2013-06-25,,24.77,99.07,2.378,980,1032,TSMC
113,Radeon RX 5500 XT,RDNA 1.0,7,6400,40.5,158,130,4.0,GDDR6,169,2019-12-12,,59.04,162.4,5.196,1607,1845,TSMC
114,Radeon HD 7970,GCN 1.0,28,4313,12.3,352,250,3.0,GDDR5,549,2011-12-22,,29.6,118.4,3.789,,,TSMC
115,Radeon RX 470,GCN 4.0,14,5700,24.6,232,120,4.0,GDDR5,179,2016-08-04,,38.59,154.4,4.94,926,1206,GLOBALFOUNDRIES
116,Radeon R9 290X,GCN 2.0,28,6200,14.2,438,290,4.0,GDDR5,549,2013-10-24,,64.0,176.0,5.632,,,TSMC
117,Radeon R7 250X,GCN 1.0,28,1500,12.2,123,80,1.0,GDDR5,99,2014-02-13,,15.2,38.0,1.216,,,TSMC
118,GeForce GTX TITAN,KEPLER,28,7080,12.6,561,250,6.0,GDDR5,999,2013-02-19,,49.06,196.2,4.709,836,876,TSMC
119,Radeon R9 270X,GCN 1.0,28,2800,13.2,212,180,2.0,GDDR5,199,2013-10-08,,33.6,84.0,2.688,1000,1050,TSMC
120,Radeon RX 6750 XT,RDNA 2.0,7,17200,51.3,335,250,12.0,GDDR6,549,2022-03-03,,166.4,416.0,13.31,2150,2600,TSMC
121,Radeon RX Vega 64,GCN 5.0,14,12500,25.3,495,295,8.0,HBM2,499,2017-08-07,,98.94,395.8,12.66,1247,1546,GLOBALFOUNDRIES
122,GeForce RTX 2070,TURING,12,10800,24.3,445,175,8.0,GDDR6,499,2018-10-17,288,103.7,233.3,7.465,1410,1620,TSMC
123,Radeon R5 230,TERASCALE 2,40,370,5.5,67,19,1.0,DDR3,,2014-04-03,,2.5,5.0,0.2,,,TSMC
124,GeForce GT 710,FERMI 2.0,40,292,3.7,79,29,1.0,DDR3,,2016-01-26,,1.62,6.48,0.1555,,,TSMC
125,GeForce GT 610,FERMI 2.0,40,292,3.7,79,29,1.0,DDR3,,2012-04-02,,1.62,6.48,0.1555,,,TSMC
126,Radeon RX 6950 XT,RDNA 2.0,7,26800,51.5,520,335,16.0,GDDR6,1099,2022-05-10,,295.7,739.2,23.65,1860,2310,TSMC
127,GeForce GT 640,TESLA,90,681,1.4,484,143,0.625,GDDR3,449,2006-11-08,,10.26,24.62,0.2281,,,TSMC
128,Radeon HD 7950,GCN 1.0,28,4313,12.3,352,200,3.0,GDDR5,449,2012-01-31,,25.6,89.6,2.867,,,TSMC
129,GeForce GTX 650 Ti,KEPLER,28,2540,11.5,221,110,1.0,GDDR5,149,2012-10-09,,14.85,59.39,1.425,,,TSMC
130,Radeon HD 7750,,,,,,,,,,,,,,,,,
131,GeForce GTX 650,KEPLER,28,2540,11.5,221,65,1.0,GDDR5,,2013-11-27,,8.464,33.86,0.8125,,,TSMC
132,Radeon RX 480,GCN 4.0,14,5700,24.6,232,150,8.0,GDDR5,229,2016-06-29,,40.51,182.3,5.834,1120,1266,GLOBALFOUNDRIES
133,Radeon R9 380X,GCN 3.0,28,5000,13.7,366,190,4.0,GDDR5,229,2015-11-19,,31.04,124.2,3.973,,,TSMC
134,Radeon HD 7990,GCN 1.0,28,4313,11.8,365,375,3.0,GDDR5,999,2013-04-24,,32.0,128.0,4.096,950,1000,TSMC
135,Radeon HD 7730,GCN 1.0,28,1500,12.2,123,47,1.0,GDDR5,59,2013-05-01,,6.4,19.2,0.6144,,,TSMC
136,GeForce RTX 4070,ADA LOVELACE,5,35800,121.4,295,200,12,GDDR6X,599,2023-04-12,184,158.4,455.4,29.15,1920,2475,TSMC
